;x;y;z
Cd21_M_od;0,058057615;-0,026787245;0,12333483
Cd25_M_od;0,137791381;-0,045905902;-0,007676602
Cd31_M_od;0,079136277;-0,029747118;-0,013749282
Cd78_M_od;0,008866221;-0,018177989;0,130519522
Cd69_M_od;0,026257935;-0,022608405;0,096521426
Cd57_M_od;0,064469875;-0,030334016;0,100960345
Cd37_M_od;0,035348464;-0,030874469;0,11559973
Cd84_M_od;0,048453118;-0,025173802;0,109364207
Cd16_M_od;0,065784278;-0,032408059;0,044728445
Cd28_M_od;0,079559318;-0,029145865;0,066998948
Cd40_M_od;0,030098514;-0,022179104;0,097045923
Cd94_M_od;0,05705045;-0,031639982;0,043238686
Cd45_M_od;0,058771074;-0,02201482;0,081274947
Cd43_M_od;-0,009889919;-0,021975162;0,141529303
Cd11_M_od;0,103152148;-0,033810278;0,070417287
Cd49_M_od;0,077823496;-0,034724702;0,04574075
Cd79_M_od;0,075147046;-0,019387904;0,051417128
Cd17_M_od;0,056579547;-0,031258264;0,11290552
Cd7_M_od;0,045832346;-0,030289198;0,135232371
Cd75_M_od;0,033115237;-0,016555317;0,036944312
Cd97_M_od;0,031835855;-0,021115519;0,124021447
Cd48_M_od;0,029704797;-0,012402335;0,101494613
Cd56_M_od;0,082241091;-0,030041171;0,073353206
Cd59_M_od;0,044888054;-0,018385442;0,064484298
Cd46_M_od;0,083089665;-0,031464275;0,088767974
Cd30_M_od;0,108365361;-0,04130563;0,103210867
Civis_M_A14_od;0,045558114;-0,027393779;0,065286539
Civis_M_A29_od;-0,005539327;-0,014287354;0,068379977
Civis_M_A38_od;-0,009692078;-0,018229638;0,064120977
Civis_M_A41_od;-0,019127571;-0,018188616;0,081745818
Civis_M_A56_od;0,01700276;-0,013739968;0,109722868
Civis_M_A91_od;-0,020386628;-0,016177658;0,140736522
Civis_M_D15_od;-0,019063051;-0,017766003;0,083113372
Civis_M_D17_od;0,003151967;-0,013850958;0,114603833
Civis_M_D18_od;0,021887393;-0,018529423;0,029753512
Civis_M_D35_od;0,009561302;-0,013007066;0,063371222
Civis_M_D36_od;0,007577104;-0,022278818;0,088185318
Civis_M_D54_od;-0,038416949;-0,014628519;0,073113639
Civis_M_E10_od;0,030934175;-0,021313045;0,091544073
Civis_M_E12_od;0,014980532;-0,013756609;0,135699111
Civis_M_E13_od;0,017271948;-0,014576814;0,090711717
Civis_M_E14_od;0,015802272;-0,019524814;0,125962458
Civis_M_E18_od;0,047832175;-0,02515055;0,063814613
Civis_M_E23_od;-0,000773367;-0,014246605;0,123747994
Civis_M_E38_od;0,048159671;-0,022281909;0,130878039
Civis_M_E43_od;0,049621185;-0,028668125;0,064889321
Civis_M_E44_od;0,033474086;-0,017454016;0,051168421
Civis_M_E57_od;0,058505036;-0,031847869;0,062691555
Civis_M_E64_od;0,017726595;-0,02602666;0,057197256
Civis_M_E72_od;0,030080321;-0,02138564;0,046925281
Civis_M_E84_od;0,038330482;-0,026386808;0,143238938
Civis_M_E93_od;0,038372052;-0,024721217;0,03247415
Civis_M_N3_od;-0,002111056;-0,018430844;0,113994595
Civis_M_N30_od;0,018233598;-0,018394899;0,147494884
Civis_M_N31_od;0,010749355;-0,014562833;0,096413997
Civis_M_N5_od;0,012726761;-0,013725873;0,137887238
ColladaToses_M_A75_od;0,049694404;-0,02874175;0,122394069
ColladaToses_M_B26_od;0,073641219;-0,027772679;0,063950255
ColladaToses_M_B6_od;0,024728973;-0,023272963;0,119394794
ColladaToses_M_B9_od;0,074161512;-0,02378968;0,049012128
ColladaToses_M_C47_od;-0,021701703;-0,01592507;0,124485183
ColladaToses_M_D15_od;0,078476504;-0,028162822;0,014927841
ColladaToses_M_D17_od;0,055841505;-0,021681775;0,038713821
ColladaToses_M_D18_od;0,046316314;-0,023072031;0,146046778
ColladaToses_M_D24_od;0,017394491;-0,024023396;0,10726536
ColladaToses_M_D33_od;0,039137481;-0,020389803;0,109168563
ColladaToses_M_D36_od;-0,022111037;-0,013538955;0,231436139
ColladaToses_M_D50_od;0,018080256;-0,026478191;0,182094623
ColladaToses_M_D52_od;0,001791605;-0,019490022;0,136795881
ColladaToses_M_D55_od;0,015013454;-0,02161896;0,120682975
ColladaToses_M_D6_od,,,242;0,018423285;-0,014206116;0,096687887
ColladaToses_M_D6_od,,,243;0,019869561;-0,017537379;0,070297424
ColladaToses_M_D8_od;0,053901544;-0,018415906;0,043442658
ColladaToses_M_D9_od;0,021358161;-0,024964714;0,156366305
ColladaToses_M_E19_od;0,006906461;-0,014970176;0,074668262
ColladaToses_M_E24_od;0,037236284;-0,025114235;0,116670972
ColladaToses_M_E28_od;0,107806024;-0,027828316;0,007484838
ColladaToses_M_E30_od;0,032817625;-0,021120338;0,102833546
ColladaToses_M_E31_od;0,036800528;-0,02310683;0,097358851
ColladaToses_M_E34_od;0,041002629;-0,020027061;0,045237961
ColladaToses_M_E41_od;0,043176359;-0,019899516;0,066905975
ColladaToses_M_E5_od;0,049293799;-0,024257041;0,111550954
ColladaToses_M_E51_od;0,033607443;-0,024355868;0,086548364
ColladaToses_M_E53_od;0,007444183;-0,015595881;0,174073844
ColladaToses_M_E6_od;0,021392672;-0,019290034;0,047305402
ColladaToses_M_E60_od;0,107650197;-0,042341934;0,009157573
ColladaToses_M_E62_od;0,035909519;-0,023712607;0,084497081
ColladaToses_M_E75_od;0,040788184;-0,019147764;0,124196788
ColladaToses_M_E9_od;0,072795529;-0,027932293;0,116235791
ColladaToses_M_E90_od;0,025512995;-0,023865868;0,126999488
Canto_M_27_od;0,010095656;-0,020988791;0,110482339
Canto_M_A15_od;0,030138033;-0,018632419;0,052886049
Canto_M_A16_od;0,022725682;-0,019404845;0,072710387
Canto_M_A17_od;0,014802064;-0,021337605;0,108059374
Canto_M_A19_od;-0,012606957;-0,014745362;0,172770176
Canto_M_A25_od;-0,012886425;-0,019817512;0,129594935
Canto_M_A30_od;-0,016917881;-0,015884262;0,121557949
Canto_M_A43_od;0,001079134;-0,022678211;0,08894609
Canto_M_A5_od;0,017269195;-0,015088402;0,074492072
Canto_M_A68_od;-0,016377395;-0,020165712;0,145995661
Canto_M_A7_od;-0,009357039;-0,018659971;0,174395214
Canto_M_A78_od;-0,002019918;-0,021744389;0,112217245
Canto_M_A8_od;0,01774473;-0,023384997;0,104017028
Canto_M_A87_od;-0,01107998;-0,017653831;0,164770377
Canto_M_E10_od_menuda;0,040711241;-0,027846659;0,079382808
Canto_M_E11_od;-0,004203558;-0,017100907;0,11380038
Canto_M_E12_od;-0,037598748;-0,015723287;0,163398013
Canto_M_E13_od;0,043413997;-0,018818444;0,060849902
Canto_M_E23_od;5,89E-05;-0,017480789;0,09045976
Canto_M_E25_od;-0,010866786;-0,019020388;0,140847901
Canto_M_E39_od;0,036918034;-0,025326118;0,093494368
Canto_M_E44_od;-0,003097188;-0,018913177;0,106834083
Canto_M_E50_od;-0,000675934;-0,023942247;0,129450663
Canto_M_E52_od;-0,005000017;-0,016030593;0,166983451
Canto_M_E54_od;-0,001068082;-0,018837115;0,100790036
Canto_M_E59_od;0,013622959;-0,018822978;0,148514678
Canto_M_E65_od;0,014233946;-0,026142492;0,11194911
Canto_M_E67_od;-0,013218419;-0,01515563;0,100685635
Canto_M_E71_od;0,0389412;-0,014939093;0,034875356
Canto_M_E72_od;0,03393885;-0,020462004;0,055710707
Canto_M_E76_od;0,03997217;-0,026615895;0,040919603
Canto_M_E77_od;0,036211824;-0,031042943;0,060977986
Canto_M_E80_od;0,046227655;-0,029845146;0,072453597
Canto_M_E83_od;0,035783324;-0,025186174;0,037921846
Canto_M_E84_od;0,010539277;-0,014789428;0,106222028
Canto_M_E87_od;0,001263916;-0,016202415;0,054925498
Canto_M_E97_od;0,045177441;-0,024553155;0,071851356
CortalMateu_M_33_od;0,028264189;-0,014933387;0,055140744
CortalMateu_M_37_od;0,019934477;-0,029181735;0,060618283
CortalMateu_M_40_od;-0,004639925;-0,020085525;0,120402433
CortalMateu_M_43_od;0,033249473;-0,019087299;0,073619161
CortalMateu_M_53_od;0,001957577;-0,014428391;0,056838057
CortalMateu_M_A17_od;-0,008383403;-0,018118438;0,09533513
CortalMateu_M_A22_od;0,006576426;-0,014139984;0,084838099
CortalMateu_M_A25_od;0,03817163;-0,014731846;0,039918582
CortalMateu_M_A30_od;0,001712201;-0,019289335;0,07017841
CortalMateu_M_A40_od;-0,018233482;-0,020300985;0,087759316
CortalMateu_M_A43_od;0,002920563;-0,019711763;0,076718982
CortalMateu_M_A48_od;-0,021744372;-0,015405854;0,085113835
CortalMateu_M_A49_od;0,084529813;-0,032866413;0,034880321
CortalMateu_M_A5_od;0,008599333;-0,02146492;0,035603525
CortalMateu_M_A57_od;0,025462578;-0,020639327;0,096461659
CortalMateu_M_A6_od;0,006652037;-0,019247583;0,069434738
CortalMateu_M_A68_od;-0,021034925;-0,017382148;0,085651711
CortalMateu_M_A71_od;0,005852295;-0,015294864;0,094105817
CortalMateu_M_A78_od;0,003251344;-0,021395019;0,127181024
CortalMateu_M_A79_od;0,04550725;-0,015734498;0,034956235
CortalMateu_M_A8_od;-0,016075818;-0,014989122;0,103572767
CortalMateu_M_A82_od;0,043258285;-0,013931489;0,047834553
CortalMateu_M_A87_od;-0,013730361;-0,017705929;0,065919912
CortalMateu_M_A91_od;-0,010070787;-0,017313161;0,160455148
CortalMateu_M_A97_od;0,018569714;-0,021966521;0,064193258
CortalMateu_M_B12_od;-0,012639946;-0,018902289;0,06309323
CortalMateu_M_B86_od;-0,004919953;-0,022136664;0,067108418
CortalMateu_M_B99_od;0,001505912;-0,014977265;0,118345567
CortalMateu_M_C100_od;-0,014783961;-0,016237451;0,137184086
CortalMateu_M_D34_od;0,025857698;-0,023029635;0,110017468
CortalMateu_M_D4_od;0,057747755;-0,025430584;0,051702867
CortalMateu_M_E14_od;-0,029300128;-0,01887391;0,150571521
CortalMateu_M_E43_od;0,032750802;-0,029117419;0,079648651
CortalMateu_M_E93_od;-0,0149489;-0,017794212;0,056527581
Espierba_M_A11_od;0,037754974;-0,022277085;0,053484728
Espierba_M_A19_od;0,038262216;-0,02462949;0,02691139
Espierba_M_A22_od;0,061058428;-0,023112831;0,021458761
Espierba_M_A29_od;0,027050463;-0,020874713;0,141701326
Espierba_M_A40_od;0,002077208;-0,017296435;0,140121233
Espierba_M_A43_od;0,023213334;-0,022798139;0,099978628
Espierba_M_A45_od;0,00582002;-0,02048668;0,090980152
Espierba_M_A56_od;0,015179789;-0,023392714;0,112826374
Espierba_M_A58_od;-0,001458063;-0,019959757;0,130037064
Espierba_M_A6_od;0,005195954;-0,018163262;0,060120442
Espierba_M_A70_od;-0,004087896;-0,015145407;0,104580442
Espierba_M_A73_od;0,080424133;-0,032760371;0,046457179
Espierba_M_B84_od;0,004211467;-0,017084569;0,095395331
Espierba_M_D10_od;0,023370627;-0,024101613;0,118642985
Espierba_M_D22_od;0,024385352;-0,017696219;0,005561038
Espierba_M_D24_od;0,007915726;-0,02297604;0,159503785
Espierba_M_D26_od;0,016900122;-0,023954123;0,121897288
Espierba_M_D3_od;0,02286535;-0,020767944;0,059529342
Espierba_M_D34_od;0,048257347;-0,01602678;0,066675738
Espierba_M_D36_od;0,074643184;-0,029560256;0,053298965
Espierba_M_D4_od;0,057626894;-0,025407375;-0,005293908
Espierba_M_D51_od;0,019261855;-0,019167463;0,118363457
Espierba_M_D52_od;0,025259578;-0,01915808;0,120376012
Espierba_M_D7_od;0,005149109;-0,013669891;0,03311114
Espierba_M_D9_od;0,032349672;-0,021089189;0,093384547
Espot_M_E21_od;0,03187845;-0,022322158;0,085930632
Espot_M_B10_od;0,018524189;-0,017935828;0,036901951
Espot_M_E78_od;0,034075535;-0,021231792;0,042265352
Espot_M_A18_od;0,03459648;-0,015883188;0,112607985
Espot_M_A35_od;-0,030769846;-0,014847645;0,107293182
Espot_M_A46_od;0,00868785;-0,020741675;0,098957191
Espot_M_E80_od;0,047120462;-0,020219718;-0,008111193
Espot_M_A7_od;0,048678917;-0,0193986;0,021478774
Espot_M_E34_od;0,023024169;-0,020240903;0,116837543
Espot_M_E8_od;0,03079419;-0,015305065;0,054581682
Espot_M_A59_od;0,009752539;-0,016454423;0,101063848
Espot_M_E75_od;0,056882199;-0,01908155;0,050829881
Espot_M_E92_od;0,022819246;-0,012900171;0,04818094
Espot_M_A77_od;0,06474995;-0,026932981;0,021812509
Espot_M_B87_od;0,013991596;-0,015658944;0,039663587
Espot_M_A11_od;0,020809405;-0,024441165;0,114022868
Espot_M_A37_od;0,007526819;-0,01559588;0,066261505
Espot_M_E73_od;-0,007668122;-0,015719339;0,118194927
Espot_M_E26_od;0,035648273;-0,021715844;0,115158238
Espot_M_A40_od;0,041417201;-0,022656163;0,089548375
Espot_M_E45_od;-0,000145365;-0,017060216;0,096066952
Espot_M_E69_od;0,004235447;-0,018926227;0,120070169
Espot_M_E5_od;0,01448087;-0,022714243;0,130079115
Espot_M_A73_od;0,057307486;-0,020178812;0,032120283
Espot_muralis_m_E29_oe;0,00901382;-0,019007732;0,170094001
Espot_muralis_M_E64_oe;0,034914525;-0,021183929;0,098030888
Espot_muralis_M_E7_oe;0,04374364;-0,016215301;0,048058227
Fontalba_M_A11_OD;0,081882368;-0,03009163;0,017713132
Fontalba_M_A15_OD;0,062188158;-0,027173061;0,094956982
Fontalba_M_A18_OD;0,036541905;-0,026462954;0,062264725
Fontalba_M_A19_OD;0,045486802;-0,033210708;0,088915966
Fontalba_M_A22_OD;0,058236463;-0,016219878;0,000196632
Fontalba_M_A25_OD;0,052544829;-0,028062584;0,046192413
Fontalba_M_A26_OD;0,101913939;-0,033234711;0,049925367
Fontalba_M_A27_OD;0,009117733;-0,02171898;0,084797502
Fontalba_M_A28_OD;0,018103036;-0,016422352;0,062403843
Fontalba_M_A29_OD;0,077932605;-0,024695608;0,005792803
Fontalba_M_A3_OD;0,081771497;-0,031538922;0,037995302
Fontalba_M_A30_OD;0,052819115;-0,030506394;0,041397987
Fontalba_M_A34_OD;0,095244808;-0,031241376;-0,000677363
Fontalba_M_A37_OD;0,05718503;-0,031981576;0,038664472
Fontalba_M_A39_OD;0,022771714;-0,022171911;0,150693924
Fontalba_M_A45_OD;0,05534203;-0,019780937;0,107813173
Fontalba_M_A46_OD;0,062208707;-0,013813548;-0,008286856
Fontalba_M_A48_OD;0,06108399;-0,025397601;0,013125224
Fontalba_M_A49_OD;0,048437023;-0,028471648;0,033054964
Fontalba_M_A5_OD;0,077703734;-0,028826554;0,054306254
Fontalba_M_A52_OD;0,0803585;-0,032705455;0,023399805
Fontalba_M_A59_OD;0,051714735;-0,022913167;0,048125109
Fontalba_M_A64_OD;0,031306045;-0,020418068;0,053303278
Fontalba_M_A7_OD;0,058682568;-0,037901604;0,068009819
Fontalba_M_A71_OD;0,016180307;-0,015446879;0,093815465
Fontalba_M_A74_OD;0,056826295;-0,032520283;0,079753945
Fontalba_M_A77_OD;0,037522884;-0,014182117;0,019173049
Fontalba_M_A79_OD;0,057244482;-0,024044175;0,027872195
Fontalba_M_A84_OD;0,076266951;-0,031373757;0,085314929
Fontalba_M_A87_OD;0,002013654;-0,02110263;0,113264756
Fontalba_M_A97_OD;0,03889238;-0,026237434;0,036653014
Gallina_M_D9_od;0,048307403;-0,024182068;0,089162258
Gallina_M_D35_od_mud;0,039777273;-0,016532199;0,028462256
Gallina_M_D36_od;0,063207367;-0,035567171;0,03004071
Gallina_M_D21_od;0,019000884;-0,027549748;0,071005552
Gallina_M_A37_od;0,061825224;-0,033095012;0,05378977
Gallina_M_A14_od;0,059739394;-0,01625122;0,014783297
Gallina_M_D17_od;0,041891215;-0,026816573;0,075506133
Gallina_M_E24_od;0,018254938;-0,019002702;0,083435067
Gallina_M_E22_od;-0,008953298;-0,015587778;0,149235419
Gallina_M_A33_od;0,020977586;-0,016782584;0,039834604
Gallina_M_D52_od;0,024149085;-0,016641304;0,119999753
Gallina_M_D54_od;-0,004390324;-0,02094095;0,103632071
Gallina_M_B26_od;0,016510744;-0,025446614;0,124251319
Gallina_M_B9_od;0,036341479;-0,023862628;0,094134692
Gallina_M_B87_od;0,089658411;-0,032662669;-0,021847592
Gallina_M_A68_od;0,03712009;-0,022662862;0,043207757
Gallina_M_D51_od;0,077583138;-0,030049027;0,002218388
Gallina_M_D14_od;0,024014243;-0,024414003;0,073709931
Gallina_M_B1_od;0,069455994;-0,03041085;0,011871334
Gallina_M_A75_od;-0,007299517;-0,025547283;0,115011603
Gallina_M_D18_od;0,048564185;-0,027296298;0,040458203
Gallina_M_A21_od;0,071932812;-0,034982114;0,036255896
Gallina_M_A77_od;0,032176166;-0,021180809;0,054223149
Ll1_M_od;0,047559264;-0,020625961;0,062798534
Ll10_M_od;0,033412623;-0,015302677;0,063555555
Ll21_M_od;0,053151874;-0,021651058;0,131783499
Ll23_M_od;0,072233497;-0,015047545;0,057243717
Ll24_M_od;0,074992138;-0,029860365;0,086615208
Ll26_M_od;0,040831698;-0,023884431;0,113985047
