"";"u";"s";"m";"l";"u,r";"s,r";"m,r";"l,r";"x";"y";"z";"h,theta";"h,phi";"r,vec";"r,max";"r,achieved";"lum"
"CortalMateu_M_A40_vg";0,083588380787115;0,178791242100842;0,259847172852014;0,477773204260029;-0,166411619212885;-0,0712087578991579;0,00984717285201391;0,227773204260029;0,183088312396529;-0,0483908881580696;-0,166411619212885;-0,258394853179172;-0,720944185450482;0,252102826644189;0,378733810530505;0,66564647685154;32,2281704480436
"CortalMateu_M_A5_vg";0,0769857590876131;0,184892504706033;0,262536464819312;0,475585271387042;-0,173014240912387;-0,0651074952939672;0,0125364648193122;0,225585271387042;0,178012237571599;-0,0478728425667326;-0,173014240912387;-0,262714329465216;-0,753723256726427;0,252812367852437;0,365305720672524;0,692056963649548;27,5260172776729
"CortalMateu_M_A79_vgrnc_mudar";0,181270318614119;0,196470318358017;0,243620701246137;0,378638661781727;-0,0687296813858806;-0,0535296816419829;-0,0063792987538633;0,128638661781727;0,111554872169045;-0,031065880000481;-0,0687296813858806;-0,271599310841674;-0,535642595835107;0,134660118477079;0,489817920590356;0,274918725543522;22,8032949148285
"CortalMateu_M_A82_vg_mud";0,131136857377023;0,186519109567584;0,258089235080215;0,424254797975178;-0,118863142622977;-0,0634808904324161;0,00808923508021519;0,174254797975178;0,145582782561975;-0,033444537621177;-0,118863142622977;-0,225810665857551;-0,672135922906117;0,190896124500713;0,40150403289062;0,475452570491908;35,6890586362101
"CortalMateu_M_E43_vgrnc";0,114665035447828;0,187117576095606;0,252524830505757;0,44569255795081;-0,135334964552172;-0,0628824239043943;0,0025248305057566;0,19569255795081;0,158344191448668;-0,0451701484252904;-0,135334964552172;-0,277884773464028;-0,687953182775581;0,213140277527812;0,393727294038721;0,54133985820869;38,0648028644418
"Espierba_M_D22_vbgrnc";0,113429770325886;0,194861813970406;0,252937959916454;0,438770455787254;-0,136570229674114;-0,0551381860295939;0,00293795991645446;0,188770455787254;0,149362929076636;-0,0451686906857164;-0,136570229674114;-0,293665397801387;-0,718947541698463;0,20736663867135;0,37959707464462;0,546280918696456;25,8475311577249
"Espot_F_E74_vg";0,0884641497678766;0,192875146002659;0,257771588701923;0,460889115527542;-0,161535850232123;-0,0571248539973414;0,00777158870192305;0,210889115527542;0,164124367318451;-0,0488685329443507;-0,161535850232123;-0,289394110928707;-0,756229852693781;0,23541192062007;0,364333861928773;0,646143400928494;27,1949552404844
"Espot_F_E96_vbuvgrnc";0,134297803317232;0,191798310639232;0,246107962385142;0,427795923658394;-0,115702196682768;-0,0582016893607683;-0,00389203761485781;0,177795923658394;0,144518433102938;-0,045035033221431;-0,115702196682768;-0,302084215180646;-0,652623609494514;0,190527504683711;0,411676506899215;0,462808786731071;30,895910739989
"Fontalba_F_A32_VG";0,0978779186752236;0,176347844944495;0,252345432479777;0,473428803900505;-0,152122081324776;-0,0736521550555053;0,00234543247977695;0,223428803900505;0,181924190434734;-0,0512955708195822;-0,152122081324776;-0,274826435260986;-0,677663271957448;0,242628881787849;0,39874040585509;0,608488325299105;26,8886028227898
"Fontalba_F_A8_VBGRNC";0,0658162367384217;0,200000933618144;0,268334315176853;0,465848514466581;-0,184183763261578;-0,0499990663818558;0,0183343151768528;0,215848514466581;0,162797730607992;-0,0456723161084138;-0,184183763261578;-0,27351530122748;-0,828118213415325;0,250025439103737;0,339369544139254;0,736735053046313;28,5351550707378
"Fontalba_M_A15_VG";0,0801445933811114;0,181950481464423;0,260639618478572;0,477265306675894;-0,169855406618889;-0,0680495185355773;0,0106396184785716;0,227265306675894;0,180842658811827;-0,0487679353575538;-0,169855406618889;-0,26340472390431;-0,736586081817983;0,252850228243593;0,372155107212636;0,679421626475554;24,9089458249701
"Fontalba_M_A26_VGRNC";0,124430403463658;0,173364594238769;0,243048740230531;0,459156262067041;-0,125569596536342;-0,0766354057612307;-0,00695125976946864;0,209156262067041;0,175010939729562;-0,0517684809920238;-0,125569596536342;-0,287600430662649;-0,602644570430477;0,221532228408296;0,441054671112569;0,502278386145367;31,3411239280073
"Fontalba_M_A34_VBGRNC";0,146549867541259;0,185427292754954;0,242176253916698;0,42584658578709;-0,103450132458741;-0,0645727072450462;-0,00782374608330243;0,17584658578709;0,14722614806235;-0,0448734809527885;-0,103450132458741;-0,295848106546435;-0,591778436662743;0,185448369827908;0,448158850598547;0,413800529834965;31,4849595601045
"Fontalba_M_A37_VG";0,0811713353147475;0,176697021858448;0,255723967338257;0,486407675488547;-0,168828664685252;-0,0733029781415519;0,00572396733825725;0,236407675488547;0,1896582673244;-0,0536187626485479;-0,168828664685252;-0,27552222676673;-0,708312412479805;0,259515602790777;0,384288419378594;0,67531465874101;23,3966673622118
"Fontalba_M_A39_VG";0,0685293984211811;0,17577927819665;0,264590742561436;0,491100580820733;-0,181470601578819;-0,0742207218033502;0,0145907425614359;0,241100580820733;0,193094074114681;-0,0486837269695848;-0,181470601578819;-0,246977093853597;-0,739015890818015;0,269419757937745;0,371161713789667;0,725882406315276;23,9383558703046
"Fontalba_M_A52_VG";0,083758795994781;0,195613628199246;0,266892877743516;0,453734698062456;-0,166241204005219;-0,0543863718007535;0,0168928777435162;0,203734698062456;0,158066228256538;-0,0408575387230599;-0,166241204005219;-0,252947217865535;-0,794441385549198;0,233003023359911;0,350399025250978;0,664964816020876;29,7820669204262
"Fontalba_M_A64_VG";0,114287183996802;0,17228781952032;0,243873988691365;0,469551007791513;-0,135712816003198;-0,0777121804796803;-0,00612601130863468;0,219551007791513;0,182035782644328;-0,0544793424518332;-0,135712816003198;-0,290794466638031;-0,620211449116169;0,233501591738547;0,430139169268002;0,54285126401279;24,9936723886584
"Fontalba_M_A7_VBGRNC";0,101830865761392;0,197464510439414;0,257031568222831;0,443673055576363;-0,148169134238608;-0,0525354895605863;0,00703156822283144;0,193673055576363;0,150771326474631;-0,0449275954322198;-0,148169134238608;-0,28960715737509;-0,755443250752866;0,216112410701606;0,364638039852457;0,592676536954431;27,5854598931372
"Fontalba_M_A77_VGRNC";0,135128772507826;0,197870887522286;0,261975582281059;0,40502475768883;-0,114871227492174;-0,0521291124777145;0,0119755822810589;0,15502475768883;0,126855320037697;-0,0279110888020782;-0,114871227492174;-0,216572248486121;-0,724115720104639;0,173397520182796;0,377373699159366;0,459484909968698;31,6864427001423
"Gallina_M_A21_vgrnc";0,106325957118166;0,176247077283819;0,25143546354266;0,465991502055355;-0,143674042881834;-0,073752922716181;0,00143546354266015;0,215991502055355;0,177431499126622;-0,0492739059933744;-0,143674042881834;-0,270880810008014;-0,662561128673148;0,2335638783977;0,40641279682962;0,574696171527337;24,3486395391328
"Gallina_M_A75_vg";0,100945337730693;0,162789448380133;0,244290200460319;0,491975013428855;-0,149054662269307;-0,0872105516198672;-0,0057097995396808;0,241975013428855;0,201584166264782;-0,0587549381896349;-0,149054662269307;-0,283609199515909;-0,617324860602927;0,257498759598085;0,431886456414301;0,596218649077227;35,0532199672902
"Gallina_M_D51_vgrnc";0,147506385861441;0,206933914175791;0,254329504253864;0,391230195708904;-0,102493614138559;-0,0430660858242094;0,00432950425386438;0,141230195708904;0,112857962812111;-0,0316448320672211;-0,102493614138559;-0,273375142634087;-0,718512805481053;0,155702460179171;0,37978575906368;0,409974456554238;24,2291208859054
"Gallina_M_D54_vg";0,144584881472259;0,186559022489727;0,247707350502284;0,42114874553573;-0,105415118527741;-0,0634409775102728;-0,00229264949771603;0,17114874553573;0,143656280090883;-0,0397015945853532;-0,105415118527741;-0,269634970061871;-0,615600126758144;0,182553254247596;0,432938976868758;0,421660474110965;29,4208857432276
"Ll18_M_vg";0,101311616486377;0,174617115201257;0,251843466005674;0,472227802306691;-0,148688383513623;-0,0753828847987428;0,00184346600567444;0,222227802306691;0,182248581351854;-0,0506139911628256;-0,148688383513623;-0,270892778334363;-0,666209246252597;0,240592096499632;0,404524030079304;0,594753534054492;32,5962851782675
"Ll28_M_vg";0,0748885374818316;0,176540261541683;0,265474221597844;0,483096979378641;-0,175111462518168;-0,0734597384583166;0,0154742215978443;0,233096979378641;0,187726883980726;-0,0454983607669169;-0,175111462518168;-0,237779643268197;-0,736423902061172;0,260721130917387;0,372221679792002;0,700445850072674;27,1062758892989
"Ll29_M_vgrnc";0,113884993334834;0,192426598416505;0,256741826769008;0,436946581479653;-0,136115006665166;-0,0575734015834947;0,00674182676900766;0,186946581479653;0,149737297604674;-0,0409731349781701;-0,136115006665166;-0,267095307097456;-0,719844497424309;0,206463922086519;0,379208595629736;0,544460026660665;37,528493083091
"LL34_M_vgrnc";0,0629001079563257;0,184053682781789;0,264611348011582;0,488434861250303;-0,187099892043674;-0,0659463172182114;0,0146113480115825;0,238434861250303;0,186394643638721;-0,0506521263197767;-0,187099892043674;-0,265339120322051;-0,769477389786027;0,268914430034304;0,359319328163392;0,748399568174697;29,6011579230742
"Ll40_M_vg";0,100091543165189;0,191039669069982;0,254318255297056;0,454550532467773;-0,149908456834811;-0,058960330930018;0,00431825529705623;0,204550532467773;0,161366789251207;-0,0484204417873881;-0,149908456834811;-0,291515949854377;-0,727149494813844;0,225513470299944;0,376085304094026;0,599633827339243;33,5175141376404
"Ll47_M_vg";0,0751823988803945;0,158144406546725;0,251144180903828;0,515529013669053;-0,174817601119606;-0,0918555934532752;0,00114418090382768;0,265529013669053;0,218852482343685;-0,060593768497218;-0,174817601119606;-0,270104249266681;-0,656072122365628;0,286581938492119;0,409829926530178;0,699270404478422;37,077156201004
"Ll55_M_vg";0,0917757550332993;0,182326993658902;0,258283398904181;0,467613852403618;-0,158224244966701;-0,0676730063410982;0,00828339890418056;0,217613852403618;0,174701808561504;-0,0471548469774088;-0,158224244966701;-0,263633719690846;-0,718484390730211;0,240373070878178;0,37979810067788;0,632896979866803;27,9348540406774
"Ll64_M_vgrnc";0,073825442526812;0,185864883490082;0,265986749084801;0,474322924898305;-0,176174557473188;-0,0641351165099177;0,0159867490848011;0,224322924898305;0,176643753413191;-0,0453306041004292;-0,176174557473188;-0,251200990099941;-0,768127505105534;0,253565285456988;0,359821090363145;0,704698229892752;32,1886808563986
"Ll65_M_vg";0,0543244417866103;0,176296506931444;0,267223263650548;0,502155787631398;-0,19567555821339;-0,073703493068556;0,0172232636505481;0,252155787631398;0,19954724141631;-0,050913727280376;-0,19567555821339;-0,249816282529034;-0,759845696597154;0,284077864791612;0,362945003690518;0,782702232853559;26,4918139323219
"Ll80_M_vgrnc";0,125593942673132;0,202800544381633;0,25706806688585;0,414537446059385;-0,124406057326868;-0,0471994556183665;0,00706806688584995;0,164537446059385;0,129661842207086;-0,0364873663409586;-0,124406057326868;-0,274310194554362;-0,745698174111469;0,183358633084593;0,36846805739296;0,497624229307474;25,6260391048869
"Ll81_M_vg";0,128468180639588;0,193637895288886;0,253344692654181;0,424549231417345;-0,121531819360412;-0,0563621047111138;0,00334469265418068;0,174549231417345;0,141403737334754;-0,0394204045147088;-0,121531819360412;-0,271876190475903;-0,691521674066047;0,190575361317751;0,392027705831889;0,486127277441646;40,5619257568469
"Ll82_M_vgrnc";0,125924240989866;0,200119697563458;0,255630208651242;0,418325852795434;-0,124075759010134;-0,049880302436542;0,0056302086512415;0,168325852795434;0,13362343476322;-0,0378956672132848;-0,124075759010134;-0,276344275532937;-0,729111172725959;0,186242041133041;0,375258718179249;0,496303036040536;31,2910810687971
"Ll83_M_vbgrnc";0,146486788028162;0,205392519101252;0,256696632358872;0,391424060511713;-0,103513211971838;-0,0446074808987476;0,00669663235887237;0,141424060511713;0,113920588129767;-0,0294945958357358;-0,103513211971838;-0,253342004827956;-0,721451847374369;0,156725290352489;0,37851518508364;0,414052847887352;30,9206632313627
