"";"u";"s";"m";"l";"u,r";"s,r";"m,r";"l,r";"x";"y";"z";"h,theta";"h,phi";"r,vec";"r,max";"r,achieved";"lum"
"CortalMateu_M_A87_vt";0,109284260830241;0,134951535684127;0,187165191868842;0,56859901161679;-0,140715739169759;-0,115048464315873;-0,0628348081311575;0,31859901161679;0,265553761070218;-0,116396905079453;-0,140715739169759;-0,413096539790592;-0,451836247064845;0,322285523690881;0,572582579589899;0,562862956679037;20,8797034593581
"CortalMateu_M_A91_vt";0,107747328626174;0,148238412300838;0,203162912021205;0,540851347051784;-0,142252671373826;-0,101761587699162;-0,0468370879787952;0,290851347051784;0,240425339139111;-0,0999721480664224;-0,142252671373826;-0,394064105209791;-0,50001582063939;0,296706246314702;0,52144231009727;0,569010685495304;29,4265238864719
"CortalMateu_M_A97_vatrnj";0,121559351237517;0,173619891108258;0,222796503045036;0,482024254609188;-0,128440648762483;-0,0763801088917417;-0,0272034969549638;0,232024254609188;0,188858331256276;-0,0742642926132393;-0,128440648762483;-0,374654429828198;-0,564270696118338;0,240165889952711;0,467464724498617;0,513762595049931;19,9293007657034
"CortalMateu_M_B92_vatrnj";0,148425027905192;0,172528392685594;0,213876317273492;0,465170262135722;-0,101574972094808;-0,077471607314406;-0,0361236827265077;0,215170262135722;0,179205814381746;-0,0742271273095541;-0,101574972094808;-0,392687881677426;-0,482398393157225;0,218956309095935;0,538903197757132;0,406299888379234;16,6742555951193
"CortalMateu_M_B99_vt";0,141422676205367;0,1218993594284;0,183216483945783;0,553461480420451;-0,108577323794633;-0,1281006405716;-0,0667835160542175;0,303461480420451;0,264276747185946;-0,109222496579263;-0,108577323794633;-0,391909091692539;-0,362882455312077;0,305877080057653;0,596946819884727;0,512402562286401;14,1622308893569
"CortalMateu_M_E14_vt";0,136318510856603;0,167636309598875;0,213135409868763;0,482909769675759;-0,113681489143397;-0,0823636904011249;-0,0368645901312371;0,232909769675759;0,193064776657522;-0,0792932784355311;-0,113681489143397;-0,389703326485131;-0,498746925936652;0,237665548544028;0,522656657506129;0,454725956573587;19,4639737696847
"Espierba_F_D50_vatrnj";0,108543607365151;0,174992744673802;0,236662958316545;0,479800689644502;-0,141456392634849;-0,075007255326198;-0,0133370416834549;0,229800689644502;0,186655983681138;-0,0641584561601524;-0,141456392634849;-0,331074332559682;-0,621839483253338;0,24283054741546;0,429161494387698;0,565825570539398;21,4054966221832
"Espierba_M_A40_vt";0,119333889599865;0,144821738236291;0,194349963670986;0,541494408492858;-0,130666110400135;-0,105178261763709;-0,0556500363290145;0,291494408492858;0,242911409258968;-0,105223223459888;-0,130666110400135;-0,408774774754091;-0,458512079026537;0,295214349093278;0,564825776533128;0,522664441600539;17,2304207350378
"Espierba_M_A43_vt";0,109402408839481;0,15981678150878;0,217244759324372;0,513536050327366;-0,140597591160519;-0,0901832184912196;-0,0327552406756278;0,263536050327366;0,216607930198973;-0,0844509342657492;-0,140597591160519;-0,371751248514013;-0,543905149782544;0,271695856360714;0,483109017227971;0,562390364642076;17,1557898885316
"Espierba_M_A70_vt";0,11475942289225;0,129029059486567;0,195830208322582;0,5603813092986;-0,13524057710775;-0,120970940513433;-0,0541697916774177;0,3103813092986;0,264148227860256;-0,105270505128083;-0,13524057710775;-0,379236899089392;-0,443945448052799;0,314874862807549;0,582064328512662;0,540962308430999;16,4132200554218
"Espierba_M_A73_vt";0,0835163155812131;0,16219364984335;0,215744209000628;0,538545825574809;-0,166483684418787;-0,0878063501566502;-0,0342557909993718;0,288545825574809;0,230467698532085;-0,09519462427057;-0,166483684418787;-0,391705293442387;-0,588690111943638;0,299823604364876;0,450229710814596;0,665934737675148;19,5321387229824
"Espierba_M_B84_vt";0,124783971954587;0,195794026428049;0,233798887885688;0,445623113731675;-0,125216028045413;-0,0542059735719505;-0,0162011121143115;0,195623113731675;0,152988446699779;-0,0614544256302681;-0,125216028045413;-0,381965218414887;-0,649542958073635;0,20702938180999;0,413344411737181;0,500864112181652;21,644205242866
"Espierba_M_D24_vt";0,137403827978529;0,161618220266295;0,20422777864027;0,496750173114906;-0,112596172021471;-0,0883817797337051;-0,0457722213597304;0,246750173114906;0,205225570245392;-0,0883575305561702;-0,112596172021471;-0,406552526113679;-0,466783118138897;0,250204887726878;0,555535954808407;0,450384688085884;14,9226013829487
"Espierba_M_D34_vt_mud";0,178200050099962;0,196741097316327;0,227144624647126;0,397914227936585;-0,0717999499000382;-0,0532589026836729;-0,0228553753528738;0,147914227936585;0,123192879994476;-0,0496269020794571;-0,0717999499000382;-0,38295143082239;-0,495604661867526;0,150978633908859;0,525691989057985;0,287199799600153;22,5945638597401
"Espierba_M_D7_vt";0,100422686596171;0,170080559726798;0,219846279986533;0,509650473690498;-0,149577313403829;-0,0799194402732015;-0,0301537200134673;0,259650473690498;0,207943255302962;-0,0848664161590414;-0,149577313403829;-0,38748925291667;-0,587532755008177;0,269844545438258;0,451011820070819;0,598309253615317;21,7649774400048
"Espot_F_A29_vt";0,0874797479808296;0,10337771857274;0,164581084969474;0,644561448476956;-0,16252025201917;-0,14662228142726;-0,085418915030526;0,394561448476956;0,33140599884038;-0,148060027230975;-0,16252025201917;-0,420158999781382;-0,420975895898742;0,397699057136676;0,611768459923636;0,650081008076682;19,7750574385291
"Espot_M_A18_vt";0,130032018674852;0,153119806950558;0,191854853719207;0,524993320655382;-0,119967981325148;-0,0968801930494416;-0,0581451462807927;0,274993320655382;0,227725089358176;-0,104087327402485;-0,119967981325148;-0,428721470436065;-0,446815203789111;0,277642224080223;0,578575677054472;0,479871925300591;12,222175459917
"Espot_M_A35_vt";0,151404952999306;0,15207766258897;0,1924372963026;0,504080088109123;-0,098595047000694;-0,0979223374110298;-0,0575627036973996;0,254080088109123;0,215556582686604;-0,0959130803545934;-0,098595047000694;-0,41865098051646;-0,395838008228478;0,255704795840247;0,648371301649785;0,394380188002776;15,7644416407213
"Espot_M_A37_vt";0,174035751288887;0,165388114093462;0,202953585207546;0,457622549410105;-0,0759642487111129;-0,084611885906538;-0,0470464147924537;0,207622549410105;0,178956312949038;-0,0767576760910733;-0,0759642487111129;-0,405184978051156;-0,371955127364323;0,209015956006856;0,61757267837563;0,338447543626152;17,2089350069174
"Espot_M_A46_vatrnjt";0,128243497689667;0,165980240277085;0,214714275373039;0,491061986660209;-0,121756502310333;-0,0840197597229152;-0,0352857246269614;0,241061986660209;0,199071100832876;-0,0804735869628042;-0,121756502310333;-0,384160882473452;-0,515834551298731;0,246839922298479;0,506831088308808;0,487026009241331;16,6367356338787
"Espot_M_A59_vt";0,10503411220297;0,125718536979144;0,183003874171837;0,58624347664605;-0,14496588779703;-0,124281463020856;-0,0669961258281634;0,33624347664605;0,282012779002482;-0,122313303480487;-0,14496588779703;-0,409229503626123;-0,440666211751907;0,339863002331518;0,586108579570401;0,579863551188121;16,9867948853999
"Espot_M_A7_vatrnj";0,147287375261846;0,202893217653174;0,235855982555752;0,413963424529228;-0,102712624738154;-0,0471067823468263;-0,0141440174442476;0,163963424529228;0,129253576687505;-0,0513163927049814;-0,102712624738154;-0,377935694925299;-0,636151748858179;0,172886501865719;0,420801489365255;0,410850498952617;25,0701397267789
"Espot_M_A77_vt";0,16852843245855;0,163724119114643;0,20296034586012;0,464787102566688;-0,0814715675414503;-0,0862758808853571;-0,0470396541398803;0,214787102566688;0,184362672474371;-0,0786976365816975;-0,0814715675414504;-0,403447718315985;-0,386036844964292;0,216380519740337;0,627001768976031;0,345103523541428;20,0375341472364
"Espot_M_B10_vt";0,105033299929514;0,154185163375212;0,205203955255611;0,535577581439664;-0,144966700070486;-0,0958148366247883;-0,0447960447443893;0,285577581439664;0,233554204006037;-0,0987668488466791;-0,144966700070486;-0,400078874777108;-0,519337092109586;0,292092110077151;0,50372276863433;0,579866800281945;16,0301309143425
"Espot_M_B87_vt";0,133230050530676;0,180536040609871;0,219951665229644;0,466282243629808;-0,116769949469324;-0,0694639593901286;-0,0300483347703562;0,216282243629808;0,174983098334144;-0,0731554834735082;-0,116769949469324;-0,395987720527163;-0,551870170275526;0,22272411311739;0,476843815831018;0,467079797877295;16,8260158730102
"Espot_M_E26_vt";0,134010396575516;0,155017553396887;0,198321311471547;0,51265073855605;-0,115989603424484;-0,0949824466031133;-0,0516786885284533;0,26265073855605;0,219004704681562;-0,0958220442162405;-0,115989603424484;-0,412439131316682;-0,451746197402967;0,265703806771763;0,572688842204622;0,463958413697934;12,3301532749078
"Espot_M_E34_vt";0,130284565553601;0,160191002160091;0,209958310796215;0,499566121490094;-0,119715434446399;-0,0898089978399093;-0,0400416892037851;0,249566121490094;0,207823968438665;-0,0847964227041123;-0,119715434446399;-0,387401352781492;-0,489973592106703;0,254387539800399;0,531233798249919;0,478861737785597;22,6097889083613
"Espot_M_E45_vt";0,113789639827313;0,131960081633476;0,186933329270264;0,567316949268947;-0,136210360172687;-0,118039918366524;-0,063066670729736;0,317316949268947;0,266600545430825;-0,115049940482768;-0,136210360172687;-0,407400627633552;-0,438622707575354;0,320726677791971;0,588660578727924;0,544841440690746;13,4450205738372
"Espot_M_E5_vt";0,12477329302067;0,155851480478443;0,202189451609811;0,517185774891077;-0,12522670697933;-0,0941485195215575;-0,0478105483901893;0,267185774891077;0,221271161969886;-0,0949850713137981;-0,12522670697933;-0,405481807925968;-0,479559759536634;0,271412636096549;0,541842556279446;0,500906827917319;14,4644362579646
"Espot_M_E75_vt";0,198844330266456;0,168875089613195;0,197293942712185;0,434986637408164;-0,0511556697335436;-0,0811249103868049;-0,0527060572878151;0,184986637408164;0,162959376689983;-0,0739894762590951;-0,0511556697335436;-0,426205461069459;-0,278410368575492;0,186137324559504;0,573613344138066;0,324499641547219;11,5197862678141
"Espot_M_E78_vt";0,117477145050613;0,139070683660456;0,196278475844252;0,547173695444679;-0,132522854949387;-0,110929316339544;-0,053721524155748;0,297173695444679;0,249911035341094;-0,103834185737766;-0,132522854949387;-0,393783489651109;-0,455369358912957;0,301329339422862;0,568447871761338;0,530091419797548;17,4457441799632
"Espot_M_E8_vt";0,153517106580453;0,168526321338912;0,210794964704726;0,467161607375908;-0,0964828934195468;-0,081473678661088;-0,0392050352952736;0,217161607375908;0,182876017495186;-0,0756950735736491;-0,0964828934195468;-0,392443967481081;-0,453579707199207;0,220187035632953;0,570533873490636;0,385931573678187;19,7485678714504
"Espot_M_E92_vt_mud";0,24162897624603;0,179838522710346;0,190047034419052;0,388485466624572;-0,00837102375396969;-0,0701614772896536;-0,0599529655809483;0,138485466624572;0,127769637245238;-0,0665493266027511;-0,0083710237539697;-0,480191285993444;-0,0580417786263355;0,144305118106562;0,514189280503655;0,280645909158614;11,9999545302456
