;x;y;z
H86_M_glatg;0,208832423;-0,0548646;-0,15565367
H86_M_vatrnj;0,156475209;-0,05692703;-0,109532135
H86_M_ocele;0,054832748;-0,016563107;0,070901223
H86_M_oe;0,079433307;-0,014903916;0,032683601
H86_M_dv;0,227693278;-0,019684982;-0,1967241
H86_M_dldm;0,165657689;-0,037807732;-0,206492481
H86_M_lm;0,207293721;-0,058262394;-0,192898891
H86_M_oceld;0,054174351;-0,016131229;0,081064541
H86_M_od;0,075528743;-0,01082635;0,055081627
F64_F_gverdosa;0,151227032;-0,037562217;-0,154856759
F64_F_glatv;0,239997945;-0,046612767;-0,181416422
F64_F_vg;0,161074474;-0,035698103;-0,158477354
F64_F_dv;0,209845414;-0,01749701;-0,188578057
F64_F_dldg;0,172701404;-0,041929822;-0,190696065
F64_F_dm;0,165840694;-0,054246928;-0,162552225
F49_F_gg;0,234889387;-0,04703191;-0,157654791
F49_F_glatg;0,24797085;-0,035688996;-0,161623097
F49_F_vg;0,195458676;-0,033130928;-0,156554338
F49_F_dv;0,196912262;-0,002490328;-0,143828168
F49_F_dldgv;0,191665351;-0,032519326;-0,181590922
F49_F_lm;0,166954204;-0,051998159;-0,140062719
L30_F_gg;0,180124133;-0,034988202;-0,133811299
L30_F_vbuv;0,100743727;-0,029110551;-0,096143268
L30_F_dv;0,21923302;-0,015021448;-0,179198647
L30_F_dldgv;0,19750323;-0,045007117;-0,198129181
L30_F_lm;0,182486022;-0,060158702;-0,143748714
G34_F_ggv;0,14274901;-0,033026175;-0,127124537
G34_F_glatv;0,21028625;-0,0423328;-0,146839317
G34_F_vbuv;0,106016873;-0,030726495;-0,109808545
G34_F_dv;0,218445732;-0,032395684;-0,145427134
G34_F_dldg;0,172660754;-0,045991619;-0,185829358
G34_F_lm;0,171640851;-0,056177796;-0,111635305
G30_F_ggv;0,173491519;-0,033184502;-0,125976332
G30_F_glatv;0,224530753;-0,028787058;-0,170194642
G30_F_vbuv;0,122959734;-0,035185437;-0,114355856
G30_F_dv;0,208861092;-0,001305163;-0,19201689
G30_F_dldg;0,161096195;-0,041044979;-0,190921881
G30_F_lm;0,189122546;-0,06531356;-0,141686562
F33_M_gbuv;0,118412079;-0,030532822;-0,11493732
F33_M_vb;0,137823089;-0,033493447;-0,180192002
F33_M_ocele;0,033833825;-0,014562457;0,104884008
F33_M_od,,,198;0,037660305;-0,011700833;0,085676704
F33_M_dv;0,248897639;-0,01947385;-0,200196938
F33_M_dldgv;0,205011262;-0,042171614;-0,193445326
F33_M_lmv;0,215919999;-0,053093115;-0,162602683
F33_M_oceld;0,025741996;-0,013692305;0,097617554
F33_M_od,,,203;0,031913814;-0,011957999;0,088670357
F63_F_gv;0,15028266;-0,023637256;-0,158882772
F63_F_glatv;0,227897812;-0,037392774;-0,177482045
F63_F_vbverdos;0,119734358;-0,027974205;-0,155613975
F63_F_dv;0,213661365;-0,031732942;-0,162320428
F63_F_dldg;0,206427027;-0,049984508;-0,194876084
F63_F_dm;0,161580199;-0,053824208;-0,111081383
F86_F_ggv;0,167244774;-0,037075082;-0,122248574
F86_F_glatgv;0,189425486;-0,042695303;-0,142964261
F86_F_vbuv;0,109504331;-0,033409518;-0,097345644
F86_F_dv;0,248944476;-0,068771458;-0,171862332
F86_F_dldg;0,172947135;-0,047463178;-0,190360579
F86_F_lm;0,182536103;-0,061238424;-0,138003757
G86_M_gbuv;0,114049091;-0,034676165;-0,088853141
G86_M_vgrnc;0,165212075;-0,039264305;-0,17713659
G86_M_glatv;0,224264285;-0,042986206;-0,174572416
G86_M_ocele;0,05070706;-0,011986753;0,107886897
G86_M_oe;0,061587365;-0,011106636;0,040364904
G86_M_dv;0,217955311;-0,005380472;-0,206799874
G86_M_oceld;0,083006979;-0,012080042;0,068728762
G86_M_dldgv;0,209994297;-0,056262369;-0,196034857
G86_M_latm;0,167652131;-0,047324497;-0,179960443
G86_M_od;0,067452008;-0,008320776;0,025007706
H79_F_ggv;0,165992026;-0,026609526;-0,151366534
H79_F_glatv;0,207925124;-0,032611447;-0,171823208
H79_F_vbuv;0,104956967;-0,031080073;-0,115857834
H79_F_ocele;0,100905386;-0,027201938;-0,024054512
H79_F_oe;0,083714081;-0,029794595;0,010753146
H79_F_dv;0,289167069;-0,044743491;-0,200621205
H79_F_dldg;0,197861916;-0,053422932;-0,199339046
H79_F_lm;0,180456097;-0,056798357;-0,168025361
H79_F_od;0,069053289;-0,03428005;0,01023147
F7_M_gbblavos;0,10260157;-0,026808118;-0,082498082
F7_M_vblavos;0,12731514;-0,029406517;-0,099504109
F7_M_vpost_grncatrnj;0,181437311;-0,048125377;-0,124521559
F7_M_ocele;0,102096108;-0,014969274;0,053163407
F7_M_oe;0,091490745;-0,013709984;-0,020776546
F7_M_oeinf_v;0,223463676;-0,043044512;-0,152234674
F7_M_dv;0,264348285;-0,03655943;-0,187507978
F7_M_dldgv;0,249766511;-0,053607554;-0,199303686
F7_M_lm;0,232208372;-0,076351601;-0,165253333
F7_M_oceld;0,117066163;-0,015405633;0,027051971
F7_M_od;0,088126896;-0,014568186;0,0073358
F7_M_odinf_v;0,164831127;-0,030673203;-0,094928008
G52_M_gbblavos;0,139023096;-0,028871596;-0,104628888
G52_M_glatv;0,229413515;-0,029863571;-0,190222772
G52_M_vbuv;0,115687942;-0,02570261;-0,094036781
G52_M_ocele;0,084092891;-0,020535144;0,052846972
G52_M_oe;0,065374051;-0,0140454;0,014371159
G52_M_dv;0,195157512;-0,006954351;-0,200421533
G52_M_dldm;0,167530441;-0,041844145;-0,193898965
G52_M_lm;0,188899711;-0,053291702;-0,172604816
G52_M_oceld;0,074328383;-0,018263004;0,05265906
G52_M_od;0,08043991;-0,015526452;-0,006102399
F7 BIS_M_gbblavos;0,119961886;-0,033634057;-0,091645243
F7 BIS_M_vg;0,177870266;-0,044448412;-0,138650144
F7 BIS_M_ocele;0,066297005;-0,01205168;0,060353897
F7 BIS_M_oe;0,051835854;-0,010917829;0,024752273
F7 BIS_M_dv,,,261;0,23074074;-0,009908551;-0,18997025
F7 BIS_M_oceld;0,069877473;-0,015493433;0,047246724
F7 BIS_M_dv,,,263;0,248285671;-0,012780096;-0,197325873
F7 BIS_M_dldg;0,206328621;-0,047238972;-0,196496986
F7 BIS_M_latv;0,259457962;-0,050421363;-0,190904413
F7 BIS_M_od;0,064789888;-0,01526827;0,030523448
G16_F_gv;0,155092254;-0,029333624;-0,138848824
G16_F_glatv;0,237631711;-0,03799392;-0,173166209
G16_F_vbverdos;0,137251567;-0,031286264;-0,123550785
G16_F_ocele;0,093765429;-0,025258803;-0,103075706
G16_F_dv;0,202374807;-0,013778992;-0,180336372
G16_F_dldg;0,174940954;-0,047239358;-0,180454478
G16_F_lm;0,169161104;-0,055804537;-0,136665626
G16_F_oceld;0,113043124;-0,028003904;-0,117964177
G16_F_od;0,094666846;-0,019224712;-0,092632823
G35_F_ggv;0,145831813;-0,028111894;-0,13140819
G35_F_glatgv;0,204298387;-0,035212172;-0,163978748
G35_F_vbuv;0,107981346;-0,032760663;-0,101119301
G35_F_dv;0,228670566;-0,051757924;-0,17204884
G35_F_dldm;0,13412563;-0,036398177;-0,177262505
G35_F_lm;0,160403123;-0,052785795;-0,13830424
F32_F_gg;0,169781578;-0,040265176;-0,138056469
F32_F_glatg;0,210437911;-0,048456297;-0,14517314
F32_F_vbuvgrnc;0,116051872;-0,032665329;-0,119100215
F32_F_dv;0,25595188;-0,064390219;-0,18221242
F32_F_dldm;0,164101255;-0,0458955;-0,181602545
F32_F_lm;0,198772399;-0,061614726;-0,165956941
F86 BIS_F_ggv;0,149787965;-0,033894679;-0,124820852
F86 BIS_F_glatgv;0,175043064;-0,035710398;-0,148226035
F86 BIS_F_vb;0,123667136;-0,030801699;-0,124177845
F86 BIS_F_dv;0,215790609;-0,044405322;-0,171657129
F86 BIS_F_dldg;0,182582698;-0,050209673;-0,196620429
F86 BIS_F_dm;0,184487227;-0,06203944;-0,126093491
H58_F_gg;0,160623462;-0,035575139;-0,130518685
H58_F_ggv;0,183193956;-0,044917176;-0,136698464
H58_F_vbuvgrnc;0,167963944;-0,043220825;-0,13877592
H58_F_dv;0,260381894;-0,025287926;-0,205722456
H58_F_dldg;0,166580779;-0,043967717;-0,197916907
H58_F_lm;0,167885151;-0,053622763;-0,156090683
F41_M_gg;0,223549872;-0,047295148;-0,148091297
F41_M_glatg;0,23790101;-0,046356853;-0,15596136
F41_M_vt;0,241641826;-0,093013941;-0,168333848
F41_M_ocele;0,117028873;-0,017722541;-0,009279832
F41_M_oe;0,123900194;-0,025728237;-0,015715952
F41_M_dv;0,23581544;-0,004839937;-0,226346572
F41_M_dldg;0,182252939;-0,045441176;-0,216644038
F41_M_lm;0,206195588;-0,060603275;-0,200693825
F41_M_oceld_v_menut;0,155558481;-0,035638035;-0,096747858
F41_M_od;0,132250258;-0,037564234;-0,017675201
H59_F_gbuv;0,106374554;-0,028151966;-0,095118456
H59_F_glatgv;0,202014819;-0,044104933;-0,161229809
H59_F_vbuv;0,092726025;-0,022536699;-0,100087017
H59_F_ocele;0,106239626;-0,029605855;-0,104813942
H59_F_dv;0,198412612;-0,029480357;-0,197801893
H59_F_dldm;0,163722282;-0,041014937;-0,204184739
H59_F_lm;0,184610294;-0,055076285;-0,188800695
G16 BIS_F_gbuv;0,114715402;-0,031169583;-0,109946166
G16 BIS_F_glatv;0,183911937;-0,037104568;-0,161736272
G16 BIS_F_vbuv;0,106183093;-0,030857691;-0,135232537
G16 BIS_F_oe;0,074180112;-0,024380303;-0,078429364
G16 BIS_F_dv;0,222935888;-0,024543095;-0,216198593
G16 BIS_F_dldg;0,147424756;-0,038422174;-0,213892617
G16 BIS_F_lm;0,17159396;-0,055074054;-0,192678768
G16 BIS_F_od;0,053754432;-0,026829895;0,002916945
L7_M_gguv;0,208716554;-0,047265403;-0,124786189
L7_M_glatgv;0,240412246;-0,053412772;-0,168048423
L7_M_vt;0,257895803;-0,09582122;-0,181698013
L7_M_ocelev;0,100300007;-0,024113808;0,019091846
L7_M_oev;0,115733361;-0,017880658;-0,010710776
L7_M_dvg;0,210895088;-0,009498379;-0,234624535
L7_M_dldg;0,187908253;-0,038751355;-0,238946313
L7_M_lm;0,225841841;-0,058607294;-0,224182645
L7_M_oceldv;0,120469123;-0,031923872;-0,019745293
L7_M_odv;0,112362111;-0,019105106;-0,009884769
H76_M_gbuv;0,09538735;-0,03040691;-0,076694981
H76_M_glatgv;0,24087842;-0,052654538;-0,151232737
H76_M_vgrnc;0,16180525;-0,038038359;-0,093329166
H76_M_ocele;0,015877544;-0,015271468;0,114314632
H76_M_oe;0,042842173;-0,016199635;0,070522139
H76_M_dv;0,253353518;-0,036041757;-0,191198246
H76_M_dldg;0,18423337;-0,041921508;-0,210100574
H76_M_lm;0,203107085;-0,059059359;-0,177074751
H76_M_oceld;0,04012784;-0,016491731;0,090010838
H76_M_od;0,057215288;-0,014994729;0,072138806
F63 BIS_M_gbuv;0,110852241;-0,035964327;-0,079764013
F63 BIS_M_glatgv;0,198081635;-0,052876093;-0,132878968
F63 BIS_M_vt;0,232011016;-0,093654108;-0,136230657
F63 BIS_M_ocele;0,058732925;-0,013452371;0,103991321
F63 BIS_M_oe;0,087639622;-0,017879037;0,033163715
F63 BIS_M_dv;0,231543213;-0,007463989;-0,197587799
F63 BIS_M_dldg;0,198691881;-0,049121365;-0,202455159
F63 BIS_M_lm;0,130097395;-0,040939101;-0,146352363
F63 BIS_M_oceld;0,083087615;-0,020082412;0,049730873
F63 BIS_M_od;0,099321543;-0,01924951;0,004499765
F33 BIS_F_ggv;0,168822335;-0,036647285;-0,1358682
F33 BIS_F_glatgv;0,248914544;-0,059573072;-0,185207583
F33 BIS_F_vbuv;0,10770636;-0,034192061;-0,110643569
F33 BIS_F_dv;0,211448347;-0,029776779;-0,184935579
F33 BIS_F_dldg;0,184038056;-0,044589179;-0,208983499
F33 BIS_F_lm;0,193029536;-0,056611269;-0,182583416
F75_M_gv;0,219710758;-0,030786712;-0,192437018
F75_M_glatv;0,236429865;-0,036942258;-0,198647135
F75_M_vg;0,191602201;-0,039222639;-0,196631956
F75_M_oe;0,038995073;-0,026571744;-0,005528422
F75_M_dv;0,212465115;-0,022310154;-0,182732
F75_M_dldg;0,196646144;-0,039289528;-0,196600682
F75_M_oceld;0,109336893;-0,028771363;-0,117212984
F75_M_od;0,078348033;-0,032979411;-0,049328609
F75_M_ocele;0,091158976;-0,024366815;-0,08064753
G3_M_gbuv;0,112200051;-0,030283333;-0,100995019
G3_M_glatv;0,224312176;-0,034473118;-0,170570003
G3_M_vt;0,275110664;-0,116688513;-0,148805777
G3_M_ocele;0,096758057;-0,025733898;-0,076599804
G3_M_oe;0,029917536;-0,007114838;0,138476142
G3_M_dv;0,207949475;-0,023017363;-0,187422276
G3_M_oceld;0,093458298;-0,024128832;-0,08689292
G3_M_dldg;0,211544361;-0,049692045;-0,208033457
G3_M_lm;0,153321228;-0,052796059;-0,15425535
G3_M_od;0,045367883;-0,008371686;0,117052345
H75_M_gbuv;0,091365123;-0,029792682;-0,088463389
H75_M_glatg;0,188381609;-0,04326733;-0,141104671
